onset	duration	SS_delay	correct_response	experiment_exp_id	key_press	response_time	stopped	trial_type	worker_id
3.017	0.85	0.3	71.0	stop_signal	71.0	0.424	False	stop_failure	s192
5.269	0.85	0.25	71.0	stop_signal	71.0	0.48	False	go	s192
7.931	0.85	0.25	89.0	stop_signal	89.0	0.42	False	go	s192
10.593	0.85	0.25	71.0	stop_signal	89.0	0.31	False	go	s192
12.846	0.85	0.25	89.0	stop_signal	89.0	0.416	False	go	s192
15.099	0.85	0.25	89.0	stop_signal	89.0	0.415	False	go	s192
17.492	0.85	0.25	71.0	stop_signal	71.0	0.398	False	stop_failure	s192
20.287	0.85	0.2	89.0	stop_signal	89.0	0.522	False	stop_failure	s192
22.676	0.85	0.15	89.0	stop_signal	-1.0	n/a	True	stop_success	s192
24.932	0.85	0.2	89.0	stop_signal	-1.0	n/a	True	stop_success	s192
27.185	0.85	0.25	71.0	stop_signal	71.0	0.444	False	stop_failure	s192
29.441	0.85	0.2	71.0	stop_signal	71.0	0.456	False	go	s192
32.103	0.85	0.2	71.0	stop_signal	71.0	0.356	False	go	s192
34.765	0.85	0.2	71.0	stop_signal	71.0	0.5	False	go	s192
37.018	0.85	0.2	71.0	stop_signal	71.0	0.392	False	go	s192
39.543	0.85	0.2	71.0	stop_signal	71.0	0.608	False	go	s192
41.796	0.85	0.2	89.0	stop_signal	89.0	0.437	False	stop_failure	s192
44.322	0.85	0.15	89.0	stop_signal	89.0	0.341	False	go	s192
46.847	0.85	0.15	71.0	stop_signal	71.0	0.575	False	stop_failure	s192
49.373	0.85	0.1	89.0	stop_signal	-1.0	n/a	True	stop_success	s192
51.765	0.85	0.15	71.0	stop_signal	-1.0	n/a	True	stop_success	s192
54.29	0.85	0.2	71.0	stop_signal	71.0	0.592	False	go	s192
56.818	0.85	0.2	89.0	stop_signal	89.0	0.531	False	go	s192
59.206	0.85	0.2	71.0	stop_signal	71.0	0.541	False	go	s192
61.461	0.85	0.2	71.0	stop_signal	71.0	0.392	False	go	s192
63.989	0.85	0.2	89.0	stop_signal	89.0	0.472	False	go	s192
66.788	0.85	0.2	89.0	stop_signal	89.0	0.367	False	stop_failure	s192
