onset	duration	choice	experiment_exp_id	key_press	large_amount	later_delay	response_time	small_amount	trial_type	worker_id
3.016	4.0	larger_later	discount_fixed	89	67.0	74.0	1.839	20.0	larger_later	s541
7.655	4.0	smaller_sooner	discount_fixed	71	29.0	58.0	1.81	20.0	smaller_sooner	s541
12.976	4.0	smaller_sooner	discount_fixed	71	39.0	104.0	1.341	20.0	smaller_sooner	s541
17.955	4.0	smaller_sooner	discount_fixed	71	33.0	103.0	1.095	20.0	smaller_sooner	s541
22.529	4.0	smaller_sooner	discount_fixed	71	33.0	78.0	0.995	20.0	smaller_sooner	s541
28.05	4.0	larger_later	discount_fixed	89	74.0	52.0	1.423	20.0	larger_later	s541
33.644	4.0	smaller_sooner	discount_fixed	71	28.0	132.0	1.329	20.0	smaller_sooner	s541
39.438	4.0	smaller_sooner	discount_fixed	71	28.0	59.0	1.061	20.0	smaller_sooner	s541
44.01	4.0	smaller_sooner	discount_fixed	71	28.0	163.0	1.186	20.0	smaller_sooner	s541
49.123	4.0	smaller_sooner	discount_fixed	71	32.0	74.0	1.592	20.0	smaller_sooner	s541
53.626	4.0	smaller_sooner	discount_fixed	71	57.0	89.0	1.452	20.0	smaller_sooner	s541
58.469	4.0	larger_later	discount_fixed	89	70.0	108.0	1.768	20.0	larger_later	s541
63.039	4.0	larger_later	discount_fixed	89	72.0	95.0	2.056	20.0	larger_later	s541
68.425	4.0	larger_later	discount_fixed	89	30.0	36.0	1.715	20.0	larger_later	s541
73.471	4.0	smaller_sooner	discount_fixed	71	41.0	129.0	1.443	20.0	smaller_sooner	s541
78.177	4.0	larger_later	discount_fixed	89	78.0	129.0	2.033	20.0	larger_later	s541
83.089	4.0	larger_later	discount_fixed	89	71.0	88.0	2.096	20.0	larger_later	s541
87.999	4.0	smaller_sooner	discount_fixed	71	65.0	159.0	1.436	20.0	smaller_sooner	s541
92.843	4.0	smaller_sooner	discount_fixed	71	24.0	125.0	1.39	20.0	smaller_sooner	s541
97.958	4.0	larger_later	discount_fixed	89	58.0	36.0	1.705	20.0	larger_later	s541
103.075	4.0	larger_later	discount_fixed	89	63.0	37.0	1.71	20.0	larger_later	s541
107.782	4.0	larger_later	discount_fixed	89	75.0	41.0	1.295	20.0	larger_later	s541
112.625	4.0	smaller_sooner	discount_fixed	71	45.0	72.0	2.853	20.0	smaller_sooner	s541
117.471	4.0	smaller_sooner	discount_fixed	71	25.0	74.0	1.231	20.0	smaller_sooner	s541
124.354	4.0	smaller_sooner	discount_fixed	71	65.0	137.0	1.128	20.0	smaller_sooner	s541
128.923	4.0	smaller_sooner	discount_fixed	71	49.0	140.0	1.033	20.0	smaller_sooner	s541
133.698	4.0	smaller_sooner	discount_fixed	71	67.0	103.0	1.319	20.0	smaller_sooner	s541
140.72	4.0	smaller_sooner	discount_fixed	71	69.0	172.0	1.355	20.0	smaller_sooner	s541
145.427	4.0	smaller_sooner	discount_fixed	71	66.0	71.0	1.481	20.0	smaller_sooner	s541
150.609	4.0	smaller_sooner	discount_fixed	71	71.0	176.0	1.276	20.0	smaller_sooner	s541
155.654	4.0	smaller_sooner	discount_fixed	71	31.0	76.0	1.321	20.0	smaller_sooner	s541
