onset	duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	stim_color	stim_word	trial_type	worker_id
3.516	1.5	incongruent	1.0	89.0	stroop	89	0.497	red	blue	incongruent	s572
5.521	1.5	congruent	1.0	89.0	stroop	89	0.474	red	red	congruent	s572
7.522	1.5	incongruent	1.0	89.0	stroop	89	0.692	red	green	incongruent	s572
9.799	1.5	incongruent	1.0	89.0	stroop	89	0.466	red	green	incongruent	s572
11.802	1.5	congruent	1.0	89.0	stroop	89	0.377	red	red	congruent	s572
13.943	1.5	congruent	1.0	71.0	stroop	71	0.436	blue	blue	congruent	s572
15.946	1.5	congruent	1.0	82.0	stroop	82	0.394	green	green	congruent	s572
18.084	1.5	congruent	1.0	82.0	stroop	82	0.471	green	green	congruent	s572
20.087	1.5	congruent	1.0	71.0	stroop	71	0.521	blue	blue	congruent	s572
22.092	1.5	incongruent	1.0	89.0	stroop	89	0.496	red	blue	incongruent	s572
24.096	1.5	incongruent	1.0	71.0	stroop	71	0.804	blue	red	incongruent	s572
26.37	1.5	incongruent	1.0	89.0	stroop	89	0.478	red	blue	incongruent	s572
28.373	1.5	incongruent	0.0	82.0	stroop	71	0.432	green	red	incongruent	s572
30.511	1.5	congruent	1.0	82.0	stroop	82	0.619	green	green	congruent	s572
32.921	1.5	incongruent	1.0	71.0	stroop	71	0.43	blue	green	incongruent	s572
35.194	1.5	congruent	1.0	89.0	stroop	89	0.44	red	red	congruent	s572
37.878	1.5	congruent	1.0	89.0	stroop	89	0.548	red	red	congruent	s572
39.885	1.5	congruent	1.0	71.0	stroop	71	0.533	blue	blue	congruent	s572
42.299	1.5	congruent	1.0	89.0	stroop	89	0.453	red	red	congruent	s572
44.437	1.5	incongruent	1.0	82.0	stroop	82	0.473	green	red	incongruent	s572
47.123	1.5	incongruent	1.0	82.0	stroop	82	0.54	green	blue	incongruent	s572
49.126	1.5	incongruent	1.0	89.0	stroop	89	0.548	red	blue	incongruent	s572
51.264	1.5	congruent	1.0	89.0	stroop	89	0.697	red	red	congruent	s572
54.219	1.5	incongruent	1.0	89.0	stroop	89	0.501	red	blue	incongruent	s572
56.222	1.5	incongruent	1.0	89.0	stroop	89	0.501	red	green	incongruent	s572
58.499	1.5	incongruent	1.0	71.0	stroop	71	0.555	blue	red	incongruent	s572
60.502	1.5	congruent	1.0	82.0	stroop	82	0.373	green	green	congruent	s572
62.505	1.5	congruent	1.0	82.0	stroop	82	0.476	green	green	congruent	s572
64.51	1.5	incongruent	1.0	71.0	stroop	71	0.564	blue	red	incongruent	s572
66.513	1.5	congruent	1.0	71.0	stroop	71	0.429	blue	blue	congruent	s572
68.653	1.5	congruent	1.0	82.0	stroop	82	0.513	green	green	congruent	s572
70.654	1.5	incongruent	1.0	89.0	stroop	89	0.481	red	green	incongruent	s572
72.657	1.5	congruent	1.0	89.0	stroop	89	0.402	red	red	congruent	s572
74.795	1.5	incongruent	1.0	71.0	stroop	71	0.428	blue	green	incongruent	s572
76.797	1.5	incongruent	1.0	71.0	stroop	71	0.428	blue	green	incongruent	s572
78.801	1.5	incongruent	1.0	89.0	stroop	89	0.537	red	green	incongruent	s572
80.94	1.5	congruent	1.0	71.0	stroop	71	0.496	blue	blue	congruent	s572
83.08	1.5	congruent	1.0	89.0	stroop	89	0.512	red	red	congruent	s572
85.356	1.5	incongruent	1.0	89.0	stroop	89	0.508	red	green	incongruent	s572
88.038	1.5	congruent	1.0	89.0	stroop	89	0.472	red	red	congruent	s572
90.042	1.5	congruent	1.0	89.0	stroop	89	0.553	red	red	congruent	s572
92.047	1.5	incongruent	1.0	71.0	stroop	71	0.427	blue	red	incongruent	s572
94.322	1.5	incongruent	1.0	82.0	stroop	82	0.392	green	red	incongruent	s572
96.325	1.5	congruent	1.0	71.0	stroop	71	0.341	blue	blue	congruent	s572
98.327	1.5	incongruent	1.0	82.0	stroop	82	0.445	green	red	incongruent	s572
100.33	1.5	incongruent	1.0	89.0	stroop	89	0.436	red	green	incongruent	s572
102.332	1.5	incongruent	1.0	89.0	stroop	89	0.436	red	green	incongruent	s572
104.334	1.5	incongruent	1.0	71.0	stroop	71	0.613	blue	green	incongruent	s572
106.336	1.5	congruent	1.0	71.0	stroop	71	0.442	blue	blue	congruent	s572
108.61	1.5	incongruent	1.0	71.0	stroop	71	0.528	blue	green	incongruent	s572
110.616	1.5	congruent	1.0	71.0	stroop	71	0.416	blue	blue	congruent	s572
113.025	1.5	congruent	1.0	71.0	stroop	71	0.473	blue	blue	congruent	s572
115.027	1.5	congruent	1.0	82.0	stroop	82	0.458	green	green	congruent	s572
117.168	1.5	congruent	1.0	71.0	stroop	71	0.556	blue	blue	congruent	s572
119.173	1.5	congruent	1.0	82.0	stroop	82	0.596	green	green	congruent	s572
121.177	1.5	incongruent	1.0	82.0	stroop	82	0.581	green	red	incongruent	s572
123.181	1.5	congruent	1.0	71.0	stroop	71	0.422	blue	blue	congruent	s572
125.456	1.5	incongruent	1.0	82.0	stroop	82	0.539	green	blue	incongruent	s572
127.457	1.5	incongruent	1.0	71.0	stroop	71	0.539	blue	green	incongruent	s572
129.732	1.5	incongruent	1.0	71.0	stroop	71	0.416	blue	green	incongruent	s572
132.006	1.5	incongruent	1.0	82.0	stroop	82	0.494	green	blue	incongruent	s572
134.009	1.5	congruent	1.0	82.0	stroop	82	0.437	green	green	congruent	s572
136.694	1.5	incongruent	1.0	89.0	stroop	89	0.394	red	blue	incongruent	s572
138.699	1.5	congruent	1.0	71.0	stroop	71	0.404	blue	blue	congruent	s572
140.973	1.5	congruent	1.0	89.0	stroop	89	0.496	red	red	congruent	s572
142.977	1.5	congruent	1.0	82.0	stroop	82	0.483	green	green	congruent	s572
144.979	1.5	incongruent	1.0	82.0	stroop	82	0.56	green	red	incongruent	s572
147.257	1.5	congruent	1.0	82.0	stroop	82	0.542	green	green	congruent	s572
149.398	1.5	congruent	1.0	82.0	stroop	82	0.439	green	green	congruent	s572
151.945	1.5	incongruent	1.0	89.0	stroop	89	0.7	red	blue	incongruent	s572
154.359	1.5	incongruent	1.0	82.0	stroop	82	0.92	green	blue	incongruent	s572
156.361	1.5	incongruent	1.0	71.0	stroop	71	0.621	blue	red	incongruent	s572
158.367	1.5	incongruent	1.0	82.0	stroop	82	0.592	green	red	incongruent	s572
160.369	1.5	congruent	1.0	82.0	stroop	82	0.422	green	green	congruent	s572
162.916	1.5	congruent	1.0	71.0	stroop	71	0.426	blue	blue	congruent	s572
165.056	1.5	congruent	1.0	71.0	stroop	71	0.42	blue	blue	congruent	s572
167.058	1.5	congruent	1.0	82.0	stroop	82	0.498	green	green	congruent	s572
169.063	1.5	congruent	1.0	71.0	stroop	71	0.443	blue	blue	congruent	s572
171.337	1.5	incongruent	1.0	71.0	stroop	71	0.513	blue	red	incongruent	s572
173.34	1.5	congruent	1.0	82.0	stroop	82	0.474	green	green	congruent	s572
175.343	1.5	incongruent	1.0	82.0	stroop	82	0.883	green	blue	incongruent	s572
177.485	1.5	incongruent	1.0	89.0	stroop	89	0.585	red	blue	incongruent	s572
179.489	1.5	incongruent	1.0	71.0	stroop	71	0.436	blue	green	incongruent	s572
181.765	1.5	congruent	1.0	71.0	stroop	71	0.462	blue	blue	congruent	s572
183.904	1.5	incongruent	1.0	82.0	stroop	82	0.7	green	blue	incongruent	s572
186.317	1.5	congruent	1.0	89.0	stroop	89	0.477	red	red	congruent	s572
188.319	1.5	congruent	1.0	89.0	stroop	89	0.439	red	red	congruent	s572
190.322	1.5	incongruent	1.0	71.0	stroop	71	0.572	blue	red	incongruent	s572
193.144	1.5	incongruent	1.0	82.0	stroop	82	0.492	green	red	incongruent	s572
195.148	1.5	incongruent	1.0	82.0	stroop	82	0.696	green	blue	incongruent	s572
197.152	1.5	congruent	1.0	82.0	stroop	82	0.458	green	green	congruent	s572
199.292	1.5	congruent	1.0	89.0	stroop	89	0.476	red	red	congruent	s572
201.293	1.5	incongruent	1.0	82.0	stroop	82	0.505	green	blue	incongruent	s572
203.295	1.5	congruent	1.0	89.0	stroop	89	0.461	red	red	congruent	s572
205.299	1.5	incongruent	1.0	71.0	stroop	71	0.413	blue	red	incongruent	s572
207.303	1.5	congruent	1.0	89.0	stroop	89	0.583	red	red	congruent	s572
