onset	duration	SS_delay	correct_response	experiment_exp_id	key_press	response_time	stop_response	stopped	trial_type	worker_id
3.012	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.496	89.0	False	noncrit_nosignal	s591
5.263	0.85	0.25	89.0	motor_selective_stop_signal	89.0	0.607	89.0	False	crit_go	s591
7.518	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.504	89.0	False	noncrit_signal	s591
9.873	0.85	0.25	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s591
12.428	0.85	0.3	89.0	motor_selective_stop_signal	89.0	0.693	89.0	False	crit_go	s591
15.38	0.85	0.3	89.0	motor_selective_stop_signal	89.0	0.58	89.0	False	crit_stop_failure	s591
17.635	0.85	0.25	89.0	motor_selective_stop_signal	89.0	0.74	89.0	False	crit_go	s591
19.986	0.85	0.25	89.0	motor_selective_stop_signal	89.0	0.663	89.0	False	crit_go	s591
22.541	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.5	89.0	False	noncrit_signal	s591
24.794	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.515	89.0	False	noncrit_signal	s591
27.149	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.508	89.0	False	noncrit_signal	s591
29.702	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.532	89.0	False	noncrit_signal	s591
32.154	0.85	0.25	89.0	motor_selective_stop_signal	89.0	0.8	89.0	False	crit_go	s591
34.505	0.85	0.25	89.0	motor_selective_stop_signal	89.0	0.493	89.0	False	crit_go	s591
37.16	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.57	89.0	False	noncrit_nosignal	s591
39.711	0.85	0.25	89.0	motor_selective_stop_signal	89.0	0.595	89.0	False	crit_stop_failure	s591
42.467	0.85	0.2	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s591
45.018	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.425	89.0	False	noncrit_signal	s591
47.471	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.478	89.0	False	noncrit_nosignal	s591
50.223	0.85	0.25	89.0	motor_selective_stop_signal	89.0	0.71	89.0	False	crit_go	s591
52.779	0.85	0.25	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s591
55.135	0.85	0.3	89.0	motor_selective_stop_signal	89.0	0.577	89.0	False	crit_go	s591
57.386	0.85	0.3	71.0	motor_selective_stop_signal	71.0	0.56	89.0	False	noncrit_nosignal	s591
60.042	0.85	0.3	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s591
62.294	0.85	0.35	71.0	motor_selective_stop_signal	71.0	0.466	89.0	False	noncrit_nosignal	s591
64.645	0.85	0.35	71.0	motor_selective_stop_signal	71.0	0.513	89.0	False	noncrit_nosignal	s591
66.896	0.85	0.35	71.0	motor_selective_stop_signal	71.0	0.491	89.0	False	noncrit_nosignal	s591
69.248	0.85	0.35	71.0	motor_selective_stop_signal	71.0	0.485	89.0	False	noncrit_nosignal	s591
71.6	0.85	0.35	89.0	motor_selective_stop_signal	89.0	0.467	89.0	False	crit_go	s591
73.851	0.85	0.35	71.0	motor_selective_stop_signal	71.0	0.526	89.0	False	noncrit_signal	s591
76.705	0.85	0.35	89.0	motor_selective_stop_signal	89.0	0.49	89.0	False	crit_go	s591
79.061	0.85	0.35	71.0	motor_selective_stop_signal	89.0	0.599	89.0	False	noncrit_nosignal	s591
81.312	0.85	0.35	89.0	motor_selective_stop_signal	89.0	0.79	89.0	False	crit_go	s591
83.666	0.85	0.35	89.0	motor_selective_stop_signal	89.0	0.599	89.0	False	crit_go	s591
86.118	0.85	0.35	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s591
