onset	duration	CTI	correct	correct_response	cue	cue_switch	experiment_exp_id	key_press	response_time	stim_color	stim_number	switch_type	task_type	task_switch	worker_id	first_trial_of_block
3.62	1.0	0.1	True	89.0	Orange-Blue	stay	twobytwo	89.0	0.972	blue	4.0	cue_stay	color	stay	s603	1
7.753	1.0	0.9	True	71.0	Magnitude	n/a	twobytwo	71.0	0.594	orange	7.0	task_switch	magnitude	switch	s603	0
10.273	1.0	0.1	True	89.0	Color	n/a	twobytwo	89.0	1.14	blue	6.0	task_switch	color	switch	s603	0
13.193	1.0	0.1	True	89.0	Magnitude	n/a	twobytwo	89.0	0.739	orange	1.0	task_switch	magnitude	switch	s603	0
16.505	1.0	0.9	True	71.0	Color	n/a	twobytwo	71.0	0.404	orange	4.0	task_switch	color	switch	s603	0
18.75	1.0	0.1	True	71.0	Color	stay	twobytwo	71.0	0.61	orange	7.0	cue_stay	color	stay	s603	0
20.998	1.0	0.1	True	71.0	Orange-Blue	switch	twobytwo	71.0	0.699	orange	8.0	cue_switch	color	stay	s603	0
23.905	1.0	0.9	True	71.0	Color	switch	twobytwo	71.0	0.819	orange	2.0	cue_switch	color	stay	s603	0
26.009	1.0	0.1	True	89.0	Magnitude	n/a	twobytwo	89.0	0.793	orange	1.0	task_switch	magnitude	switch	s603	0
29.188	1.0	0.9	True	71.0	Orange-Blue	n/a	twobytwo	71.0	0.523	orange	9.0	task_switch	color	switch	s603	0
31.708	1.0	0.1	True	89.0	High-Low	n/a	twobytwo	89.0	0.966	orange	2.0	task_switch	magnitude	switch	s603	0
34.611	1.0	0.9	True	71.0	Magnitude	switch	twobytwo	71.0	0.59	orange	8.0	cue_switch	magnitude	stay	s603	0
37.654	1.0	0.9	True	71.0	Color	n/a	twobytwo	71.0	1.104	orange	3.0	task_switch	color	switch	s603	0
39.76	1.0	0.1	True	89.0	High-Low	n/a	twobytwo	89.0	0.994	orange	1.0	task_switch	magnitude	switch	s603	0
42.278	1.0	0.1	True	89.0	Magnitude	switch	twobytwo	89.0	0.648	blue	1.0	cue_switch	magnitude	stay	s603	0
45.457	1.0	0.9	True	89.0	Color	n/a	twobytwo	89.0	0.459	blue	1.0	task_switch	color	switch	s603	0
47.565	1.0	0.1	True	71.0	Orange-Blue	switch	twobytwo	71.0	0.65	orange	7.0	cue_switch	color	stay	s603	0
49.947	1.0	0.1	True	89.0	High-Low	n/a	twobytwo	89.0	0.841	orange	4.0	task_switch	magnitude	switch	s603	0
52.854	1.0	0.9	True	71.0	Color	n/a	twobytwo	71.0	0.826	orange	3.0	task_switch	color	switch	s603	0
54.966	1.0	0.1	True	71.0	Color	stay	twobytwo	71.0	0.937	orange	6.0	cue_stay	color	stay	s603	0
57.348	1.0	0.1	True	89.0	High-Low	n/a	twobytwo	89.0	0.74	orange	1.0	task_switch	magnitude	switch	s603	0
59.59	1.0	0.1	True	71.0	Orange-Blue	n/a	twobytwo	71.0	1.103	orange	1.0	task_switch	color	switch	s603	0
62.497	1.0	0.9	True	71.0	Orange-Blue	stay	twobytwo	71.0	0.554	orange	3.0	cue_stay	color	stay	s603	0
64.604	1.0	0.1	True	89.0	High-Low	n/a	twobytwo	89.0	1.328	orange	3.0	task_switch	magnitude	switch	s603	0
67.51	1.0	0.9	True	89.0	Magnitude	switch	twobytwo	89.0	0.563	orange	2.0	cue_switch	magnitude	stay	s603	0
69.617	1.0	0.1	True	71.0	Magnitude	stay	twobytwo	71.0	0.953	orange	7.0	cue_stay	magnitude	stay	s603	0
71.726	1.0	0.1	True	89.0	Orange-Blue	n/a	twobytwo	89.0	0.797	blue	3.0	task_switch	color	switch	s603	0
73.965	1.0	0.1	True	89.0	Orange-Blue	stay	twobytwo	89.0	0.64	blue	2.0	cue_stay	color	stay	s603	0
