onset	duration	SS_delay	correct_response	experiment_exp_id	key_press	response_time	stop_response	stopped	trial_type	worker_id
3.021	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.554	89.0	False	noncrit_signal	s604
5.273	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.289	89.0	False	noncrit_nosignal	s604
7.529	0.85	0.25	89.0	motor_selective_stop_signal	71.0	0.274	89.0	False	crit_stop_failure	s604
10.383	0.85	0.2	89.0	motor_selective_stop_signal	89.0	0.401	89.0	False	crit_go	s604
12.736	0.85	0.2	71.0	motor_selective_stop_signal	71.0	0.449	89.0	False	noncrit_nosignal	s604
14.992	0.85	0.2	89.0	motor_selective_stop_signal	71.0	0.342	89.0	False	crit_stop_failure	s604
17.245	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.442	89.0	False	noncrit_nosignal	s604
19.496	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.565	89.0	False	noncrit_nosignal	s604
21.848	0.85	0.15	71.0	motor_selective_stop_signal	89.0	0.224	89.0	False	noncrit_nosignal	s604
24.499	0.85	0.15	89.0	motor_selective_stop_signal	89.0	0.601	89.0	False	crit_stop_failure	s604
27.256	0.85	0.1	89.0	motor_selective_stop_signal	89.0	0.542	89.0	False	crit_go	s604
29.512	0.85	0.1	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s604
32.264	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.447	89.0	False	noncrit_signal	s604
34.518	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.38	89.0	False	noncrit_nosignal	s604
36.871	0.85	0.15	71.0	motor_selective_stop_signal	89.0	0.263	89.0	False	noncrit_nosignal	s604
39.223	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.745	89.0	False	noncrit_nosignal	s604
41.776	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.477	89.0	False	noncrit_nosignal	s604
44.029	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.328	89.0	False	noncrit_signal	s604
46.283	0.85	0.15	89.0	motor_selective_stop_signal	89.0	0.424	89.0	False	crit_go	s604
48.537	0.85	0.15	71.0	motor_selective_stop_signal	89.0	0.4	89.0	False	noncrit_nosignal	s604
50.893	0.85	0.15	89.0	motor_selective_stop_signal	89.0	0.722	89.0	False	crit_stop_failure	s604
53.545	0.85	0.1	89.0	motor_selective_stop_signal	89.0	0.543	89.0	False	crit_go	s604
55.897	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.56	89.0	False	noncrit_signal	s604
58.154	0.85	0.1	89.0	motor_selective_stop_signal	89.0	0.523	89.0	False	crit_go	s604
60.506	0.85	0.1	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s604
62.863	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.413	89.0	False	noncrit_nosignal	s604
65.714	0.85	0.15	89.0	motor_selective_stop_signal	89.0	0.395	89.0	False	crit_go	s604
68.169	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.441	89.0	False	noncrit_nosignal	s604
70.522	0.85	0.15	89.0	motor_selective_stop_signal	89.0	0.382	89.0	False	crit_go	s604
73.178	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.354	89.0	False	noncrit_nosignal	s604
75.435	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.442	89.0	False	noncrit_signal	s604
77.69	0.85	0.15	89.0	motor_selective_stop_signal	89.0	0.459	89.0	False	crit_go	s604
79.946	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.454	89.0	False	noncrit_nosignal	s604
82.4	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.337	89.0	False	noncrit_nosignal	s604
84.756	0.85	0.15	89.0	motor_selective_stop_signal	89.0	0.537	89.0	False	crit_stop_failure	s604
87.007	0.85	0.1	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s604
89.362	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.562	89.0	False	noncrit_signal	s604
91.818	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.463	89.0	False	noncrit_nosignal	s604
94.174	0.85	0.15	89.0	motor_selective_stop_signal	89.0	0.478	89.0	False	crit_go	s604
96.426	0.85	0.15	89.0	motor_selective_stop_signal	89.0	0.52	89.0	False	crit_go	s604
98.679	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.493	89.0	False	noncrit_signal	s604
101.031	0.85	0.15	89.0	motor_selective_stop_signal	89.0	0.605	89.0	False	crit_stop_failure	s604
103.383	0.85	0.1	89.0	motor_selective_stop_signal	89.0	0.617	89.0	False	crit_go	s604
105.738	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.46	89.0	False	noncrit_nosignal	s604
108.695	0.85	0.1	89.0	motor_selective_stop_signal	89.0	0.613	89.0	False	crit_go	s604
110.949	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.552	89.0	False	noncrit_nosignal	s604
113.302	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.324	89.0	False	noncrit_nosignal	s604
115.554	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.622	89.0	False	noncrit_signal	s604
118.005	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.445	89.0	False	noncrit_signal	s604
120.36	0.85	0.1	71.0	motor_selective_stop_signal	71.0	0.469	89.0	False	noncrit_signal	s604
133.43	0.85	0.1	89.0	motor_selective_stop_signal	89.0	0.592	89.0	False	crit_go	s604
135.987	0.85	0.1	89.0	motor_selective_stop_signal	89.0	0.785	89.0	False	crit_go	s604
138.242	0.85	0.1	71.0	motor_selective_stop_signal	89.0	0.368	89.0	False	noncrit_nosignal	s604
140.498	0.85	0.1	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s604
143.253	0.85	0.15	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s604
145.609	0.85	0.2	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s604
147.864	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.48	89.0	False	noncrit_nosignal	s604
150.32	0.85	0.25	89.0	motor_selective_stop_signal	89.0	0.578	89.0	False	crit_go	s604
152.577	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.372	89.0	False	noncrit_nosignal	s604
154.929	0.85	0.25	89.0	motor_selective_stop_signal	71.0	0.37	89.0	False	crit_go	s604
157.184	0.85	0.25	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s604
159.437	0.85	0.3	89.0	motor_selective_stop_signal	89.0	0.456	89.0	False	crit_stop_failure	s604
161.692	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.793	89.0	False	noncrit_nosignal	s604
163.946	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.341	89.0	False	noncrit_nosignal	s604
166.203	0.85	0.25	71.0	motor_selective_stop_signal	71.0	0.346	89.0	False	noncrit_signal	s604
168.559	0.85	0.25	89.0	motor_selective_stop_signal	89.0	0.41	89.0	False	crit_stop_failure	s604
171.115	0.85	0.2	89.0	motor_selective_stop_signal	89.0	0.364	89.0	False	crit_go	s604
174.071	0.85	0.2	89.0	motor_selective_stop_signal	89.0	0.373	89.0	False	crit_stop_failure	s604
176.323	0.85	0.15	89.0	motor_selective_stop_signal	89.0	0.578	89.0	False	crit_go	s604
178.68	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.335	89.0	False	noncrit_nosignal	s604
181.233	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.563	89.0	False	noncrit_signal	s604
183.489	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.437	89.0	False	noncrit_signal	s604
185.842	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.327	89.0	False	noncrit_signal	s604
188.395	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.422	89.0	False	noncrit_signal	s604
190.852	0.85	0.15	89.0	motor_selective_stop_signal	89.0	0.486	89.0	False	crit_go	s604
193.205	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.666	89.0	False	noncrit_nosignal	s604
195.857	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.561	89.0	False	noncrit_nosignal	s604
198.414	0.85	0.15	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s604
201.17	0.85	0.2	89.0	motor_selective_stop_signal	89.0	0.327	89.0	False	crit_stop_failure	s604
203.726	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.509	89.0	False	noncrit_signal	s604
206.182	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.362	89.0	False	noncrit_nosignal	s604
208.936	0.85	0.15	89.0	motor_selective_stop_signal	89.0	0.637	89.0	False	crit_go	s604
211.493	0.85	0.15	89.0	motor_selective_stop_signal	-1.0	n/a	89.0	True	crit_stop_success	s604
213.849	0.85	0.2	89.0	motor_selective_stop_signal	71.0	0.497	89.0	False	crit_go	s604
216.101	0.85	0.2	89.0	motor_selective_stop_signal	89.0	0.531	89.0	False	crit_go	s604
218.752	0.85	0.2	89.0	motor_selective_stop_signal	89.0	0.397	89.0	False	crit_stop_failure	s604
221.005	0.85	0.15	89.0	motor_selective_stop_signal	89.0	0.684	89.0	False	crit_go	s604
223.361	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.428	89.0	False	noncrit_nosignal	s604
225.614	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.431	89.0	False	noncrit_nosignal	s604
227.968	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.412	89.0	False	noncrit_nosignal	s604
230.319	0.85	0.15	71.0	motor_selective_stop_signal	71.0	0.503	89.0	False	noncrit_nosignal	s604
