onset	duration	coded_response	experiment_exp_id	item_coding	item_text	key_press	possible_responses	response_time	survey	trial_type	worker_id
1.009	8.5	2.0	survey_medley	reverse	I wish I had more self-discipline.	82	66,89,71,82,77	4.301	brief	Q15	s606
10.082	8.5	1.0	survey_medley	forward	Do you sometimes like doing things that are a bit frightening?	66	66,89,71,82,77	8.794	impulsive_venture	Q39	s606
20.38	8.5	5.0	survey_medley	forward	As I get older, I begin to experience time as limited.	77	66,89,71,82,77	4.444	future_time	Q31	s606
32.174	8.5	4.0	survey_medley	forward	I am good at resisting temptation.	82	66,89,71,82,77	4.357	brief	Q09	s606
41.381	8.5	1.0	survey_medley	forward	I tend to act without thinking when I am really excited.	66	66,89,71,82,77	6.166	upps	Q37	s606
50.861	8.5	4.0	survey_medley	forward	I am diligent.	82	66,89,71,82,77	4.402	grit	Q08	s606
60.816	8.5	3.0	survey_medley	reverse	I often set a goal but later choose to pursue a different one.	71	66,89,71,82,77	6.869	grit	Q05	s606
72.674	8.5	4.0	survey_medley	forward	When overjoyed, I feel like I cant stop myself from going overboard.	82	66,89,71,82,77	5.603	upps	Q35	s606
81.881	8.5	4.0	survey_medley	reverse	I often act without thinking through all the alternatives.	89	66,89,71,82,77	4.174	brief	Q21	s606
93.403	8.5	4.0	survey_medley	reverse	I have trouble concentrating.	89	66,89,71,82,77	4.579	brief	Q18	s606
102.404	8.5	5.0	survey_medley	forward	Most of my life lies ahead of me.	77	66,89,71,82,77	4.241	future_time	Q25	s606
111.544	8.5	4.0	survey_medley	reverse	I have a hard time breaking bad habits.	89	66,89,71,82,77	5.259	brief	Q10	s606
121.162	8.5	3.0	survey_medley	reverse	I have difficulty maintaining my focus on projects that take more than a few months to complete.	71	66,89,71,82,77	5.277	grit	Q06	s606
130.779	8.5	1.0	survey_medley	forward	Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.	66	66,89,71,82,77	7.567	upps	Q32	s606
141.074	8.5	4.0	survey_medley	reverse	New ideas and projects sometimes distract me from previous ones.	89	66,89,71,82,77	4.854	grit	Q01	s606
151.164	8.5	2.0	survey_medley	forward	I have the sense that time is running out.	89	66,89,71,82,77	6.067	future_time	Q29	s606
160.234	8.5	4.0	survey_medley	forward	I refuse things that are bad for me.	82	66,89,71,82,77	4.376	brief	Q14	s606
170.391	8.5	2.0	survey_medley	forward	Others would say I make bad choices when I am extremely happy about something.	89	66,89,71,82,77	6.022	upps	Q33	s606
180.279	8.5	2.0	survey_medley	forward	My future seems infinite to me.	89	66,89,71,82,77	5.911	future_time	Q26	s606
189.963	8.5	1.0	survey_medley	forward	When I get really happy about something, I tend to do things that can have bad consequences.	66	66,89,71,82,77	6.239	upps	Q34	s606
199.509	8.5	5.0	survey_medley	forward	I am able to work effectively toward long-term goals.	77	66,89,71,82,77	4.905	brief	Q19	s606
210.822	8.5	3.0	survey_medley	reverse	I say inappropriate things.	71	66,89,71,82,77	5.095	brief	Q12	s606
220.44	8.5	1.0	survey_medley	forward	When I am really excited, I tend not to think of the consequences of my actions.	66	66,89,71,82,77	5.268	upps	Q36	s606
229.646	8.5	3.0	survey_medley	forward	I expect that I will set many new goals in the future.	71	66,89,71,82,77	5.834	future_time	Q23	s606
239.196	8.5	5.0	survey_medley	forward	My future is filled with possibilities.	77	66,89,71,82,77	4.48	future_time	Q24	s606
248.676	8.5	4.0	survey_medley	forward	People would say that I have iron self-discipline.	82	66,89,71,82,77	5.671	brief	Q16	s606
257.886	8.5	2.0	survey_medley	forward	Would you enjoy the sensation of skiing very fast down a high mountain slope?	89	66,89,71,82,77	4.387	impulsive_venture	Q40	s606
267.981	8.5	2.0	survey_medley	forward	I could do anything I want in the future.	89	66,89,71,82,77	5.09	future_time	Q27	s606
278.891	8.5	4.0	survey_medley	forward	There are only limited possibilities in my future.	82	66,89,71,82,77	5.013	future_time	Q30	s606
288.779	8.5	2.0	survey_medley	reverse	Sometimes I can't stop myself from doing something, even if I know it is wrong.	82	66,89,71,82,77	6.591	brief	Q20	s606
297.917	8.5	1.0	survey_medley	reverse	Pleasure and fun sometimes keep me from getting work done.	77	66,89,71,82,77	4.742	brief	Q17	s606
308.283	8.5	3.0	survey_medley	reverse	I do certain things that are bad for me, if they are fun.	71	66,89,71,82,77	6.096	brief	Q13	s606
317.968	8.5	2.0	survey_medley	forward	Setbacks don't discourage me.	89	66,89,71,82,77	5.29	grit	Q02	s606
328.13	8.5	5.0	survey_medley	forward	I am a hard worker.	77	66,89,71,82,77	1.738	grit	Q04	s606
337.337	8.5	4.0	survey_medley	forward	I finish whatever I begin.	82	66,89,71,82,77	2.487	grit	Q07	s606
348.516	8.5	2.0	survey_medley	reverse	I am lazy.	82	66,89,71,82,77	4.344	brief	Q11	s606
357.792	8.5	2.0	survey_medley	forward	Do you welcome new and exciting experiences and sensations even if they are a little frightening and unconventional?	89	66,89,71,82,77	5.321	impulsive_venture	Q38	s606
367.408	8.5	2.0	survey_medley	forward	There is plenty of time left in my life to make new plans.	89	66,89,71,82,77	6.195	future_time	Q28	s606
376.48	8.5	3.0	survey_medley	reverse	I have been obsessed with a certain idea or project for a short time but later lost interest.	71	66,89,71,82,77	6.324	grit	Q03	s606
385.483	8.5	5.0	survey_medley	forward	Many opportunities await me in the future.	77	66,89,71,82,77	4.235	future_time	Q22	s606
