onset	duration	correct	correct_response	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	response_time	worker_id
3.508	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.41	s615
6.111728	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.463	s615
8.717	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.402	s615
11.320864	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.428	s615
13.925592	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.655	s615
16.529456	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.438	s615
19.135	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.457	s615
21.737864000000002	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.509	s615
24.341864	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.409	s615
26.947864000000003	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.632	s615
29.551864000000002	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.437	s615
32.157728	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.373	s615
34.761864	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.396	s615
37.364591999999995	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.532	s615
39.969	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.466	s615
42.573864	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.413	s615
45.178	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.534	s615
47.781864	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.419	s615
50.386048	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.419	s615
52.991728	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.658	s615
55.594864	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.568	s615
58.199	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.416	s615
60.801864	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.551	s615
63.407	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.455	s615
66.014864	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.483	s615
68.618728	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.413	s615
71.222728	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.407	s615
73.827864	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.474	s615
76.432	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.525	s615
79.035864	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.495	s615
81.641	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.546	s615
84.24472800000001	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.49	s615
86.848	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.503	s615
89.452	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.624	s615
92.056864	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.425	s615
94.660728	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.444	s615
97.26459200000001	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.409	s615
99.869	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.536	s615
102.473864	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.395	s615
105.077864	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.436	s615
107.682	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.532	s615
110.286592	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.771	s615
112.88945600000001	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.46	s615
115.494864	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.408	s615
118.097864	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.379	s615
120.702	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.37	s615
123.307	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.425	s615
125.910864	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.574	s615
128.516	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.416	s615
131.120864	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.466	s615
133.725	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.478	s615
136.327592	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.429	s615
138.933	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.477	s615
141.53618400000002	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.433	s615
144.14032	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.485	s615
146.745	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.377	s615
149.34786400000002	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.372	s615
151.951864	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.408	s615
154.555864	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.348	s615
157.16	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.549	s615
159.763864	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.606	s615
162.366048	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.434	s615
164.970864	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.54	s615
167.577592	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.561	s615
180.68504800000002	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.389	s615
183.289864	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.378	s615
185.893728	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.387	s615
188.496728	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.492	s615
191.101	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.405	s615
193.705	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.4	s615
196.308728	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.359	s615
198.913	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.356	s615
201.518	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.354	s615
204.121728	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.404	s615
206.725	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.348	s615
209.328864	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.313	s615
211.933728	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.396	s615
214.539	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.455	s615
217.143	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.443	s615
219.746	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.324	s615
222.351	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.323	s615
224.955	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.568	s615
227.558	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.404	s615
230.161728	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.444	s615
232.765864	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.521	s615
235.369912	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.361	s615
237.975728	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.384	s615
240.57986400000001	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.457	s615
243.184864	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.423	s615
245.788	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.463	s615
248.392	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.437	s615
250.996	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.323	s615
253.6	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.524	s615
256.203864	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.41	s615
258.807728	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.466	s615
261.411864	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.37	s615
264.015864	1.7	1.0	89.0	double	attention_network_task	down	left	congruent	89	0.369	s615
266.621	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.44	s615
269.224	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.426	s615
271.827592	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.386	s615
274.432456	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.441	s615
277.035592	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.623	s615
279.641	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.404	s615
282.243592	1.7	1.0	89.0	double	attention_network_task	up	left	congruent	89	0.458	s615
284.848	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.419	s615
287.451592	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.403	s615
290.056	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.403	s615
292.659	1.7	1.0	89.0	spatial	attention_network_task	up	left	incongruent	89	0.474	s615
295.262592	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.4	s615
297.866864	1.7	1.0	71.0	spatial	attention_network_task	up	right	incongruent	71	0.365	s615
300.470728	1.7	1.0	89.0	double	attention_network_task	up	left	incongruent	89	0.618	s615
303.074456	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.667	s615
305.678728	1.7	1.0	71.0	spatial	attention_network_task	down	right	incongruent	71	0.488	s615
308.284	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.471	s615
310.887592	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.494	s615
313.492	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.425	s615
316.095	1.7	1.0	71.0	double	attention_network_task	down	right	congruent	71	0.624	s615
318.699456	1.7	1.0	89.0	double	attention_network_task	down	left	incongruent	89	0.484	s615
321.303592	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.397	s615
323.908	1.7	1.0	89.0	spatial	attention_network_task	up	left	congruent	89	0.392	s615
326.511864	1.7	1.0	71.0	spatial	attention_network_task	up	right	congruent	71	0.382	s615
329.11618400000003	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.403	s615
331.71986400000003	1.7	1.0	71.0	double	attention_network_task	up	right	congruent	71	0.422	s615
334.324	1.7	1.0	89.0	spatial	attention_network_task	down	left	congruent	89	0.357	s615
336.926864	1.7	1.0	71.0	double	attention_network_task	down	right	incongruent	71	0.553	s615
339.530864	1.7	1.0	89.0	spatial	attention_network_task	down	left	incongruent	89	0.384	s615
342.135864	1.7	1.0	71.0	double	attention_network_task	up	right	incongruent	71	0.633	s615
344.738456	1.7	1.0	71.0	spatial	attention_network_task	down	right	congruent	71	0.401	s615
