onset	duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	trial_id	trial_type	worker_id
3.008	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s631
5.514	0.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.312	probe	BY	s631
7.152	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s631
9.657	0.5	AY	0.0	71.0	dot_pattern_expectancy	89.0	0.446	probe	AY	s631
11.16	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
13.664	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.314	probe	AX	s631
15.711	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s631
18.215	0.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.256	probe	BY	s631
19.99	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s631
22.494	0.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.257	probe	BX	s631
24.132	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
26.637	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.358	probe	AX	s631
28.276	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
30.779	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.38	probe	AX	s631
32.281	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
34.788	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.347	probe	AX	s631
36.289	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s631
38.794	0.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.567	probe	AY	s631
40.84	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
43.343	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.4	probe	AX	s631
45.798	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
48.302	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.363	probe	AX	s631
50.213	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
52.718	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.337	probe	AX	s631
54.22	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
56.723	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.341	probe	AX	s631
58.634	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s631
61.139	0.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.235	probe	BX	s631
63.322	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
65.826	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.405	probe	AX	s631
67.329	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s631
69.833	0.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.321	probe	BY	s631
71.744	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s631
74.249	0.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.283	probe	BX	s631
76.568	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s631
79.072	0.5	AY	0.0	71.0	dot_pattern_expectancy	89.0	0.304	probe	AY	s631
81.391	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s631
83.896	0.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.356	probe	BX	s631
85.534	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s631
88.039	0.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.491	probe	AY	s631
89.541	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s631
92.047	0.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.28	probe	BY	s631
93.958	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
96.463	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.346	probe	AX	s631
97.966	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s631
100.471	0.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.458	probe	AY	s631
102.79	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
105.295	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.325	probe	AX	s631
106.797	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s631
109.302	0.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.493	probe	AY	s631
112.027	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
114.532	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.34	probe	AX	s631
116.035	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
118.54	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.398	probe	AX	s631
120.179	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
122.682	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.434	probe	AX	s631
124.321	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
126.826	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.36	probe	AX	s631
128.6	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s631
131.105	0.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.284	probe	BY	s631
132.879	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
135.384	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.306	probe	AX	s631
136.887	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s631
139.392	0.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.271	probe	BY	s631
141.846	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
144.351	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.367	probe	AX	s631
145.99	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
148.495	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.301	probe	AX	s631
150.133	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s631
152.638	0.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.293	probe	BX	s631
154.141	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s631
156.646	0.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.5	probe	BX	s631
158.149	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
160.654	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.39	probe	AX	s631
162.972	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s631
165.477	0.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.522	probe	AY	s631
167.524	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
170.028	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.322	probe	AX	s631
173.979	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
176.483	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.434	probe	AX	s631
188.629	0.5	AY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AY	s631
191.134	0.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.577	probe	AY	s631
192.772	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
195.277	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.342	probe	AX	s631
196.916	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
199.42	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.458	probe	AX	s631
200.923	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
203.426	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.328	probe	AX	s631
204.929	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
207.434	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.328	probe	AX	s631
209.344	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s631
211.849	0.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.264	probe	BX	s631
213.488	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
215.992	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.407	probe	AX	s631
218.038	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
220.544	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.46	probe	AX	s631
222.318	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
224.823	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.341	probe	AX	s631
226.326	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
228.831	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.452	probe	AX	s631
231.012	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
233.516	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.334	probe	AX	s631
235.018	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s631
237.523	0.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.281	probe	BX	s631
241.201	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s631
243.706	0.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.335	probe	BY	s631
245.345	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s631
247.85	0.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.45	probe	BY	s631
249.489	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s631
251.993	0.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.314	probe	BX	s631
253.495	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
256.001	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.388	probe	AX	s631
257.911	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
260.416	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.303	probe	AX	s631
262.055	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s631
264.559	0.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.292	probe	BX	s631
266.061	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
268.565	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.294	probe	AX	s631
270.475	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s631
272.98	0.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.249	probe	BY	s631
275.163	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
277.667	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.288	probe	AX	s631
279.442	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
281.947	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.369	probe	AX	s631
283.448	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
285.953	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.362	probe	AX	s631
287.456	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
289.961	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.384	probe	AX	s631
292.008	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
294.514	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.372	probe	AX	s631
297.375	0.5	BX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BX	s631
299.879	0.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.292	probe	BX	s631
301.382	0.5	BY	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	BY	s631
303.887	0.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.261	probe	BY	s631
305.662	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
308.167	0.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.402	probe	AX	s631
309.941	0.5	AX	n/a	n/a	dot_pattern_expectancy	-1.0	n/a	cue	AX	s631
