onset	duration	planning	condition	current_position	exp_stage	experiment_exp_id	goal_state	key_press	problem_id	response_time	start_state	trial_id	worker_id
-61.382	0.0	0	n/a	n/a	n/a	ward_and_allport	n/a	32.0	n/a	24.874	n/a	instructions	s636
3.005	2.265	1	UA_with_intermediate	1,0,0,2,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	71.0	0.0	2.265	1,0,0,2,3,0,0,0,0	to_hand	s636
5.272	3.173	0	UA_with_intermediate	1,0,0,2,0,0,3,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	82.0	0.0	3.173	1,0,0,2,3,0,0,0,0	to_board	s636
8.448	1.941	0	UA_with_intermediate	1,0,0,0,0,0,3,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	71.0	0.0	1.941	1,0,0,2,3,0,0,0,0	to_hand	s636
10.39	0.375	0	UA_with_intermediate	1,2,0,0,0,0,3,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	0.375	1,0,0,2,3,0,0,0,0	to_board	s636
10.767	2.489	0	UA_with_intermediate	1,2,0,0,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	82.0	0.0	2.489	1,0,0,2,3,0,0,0,0	to_hand	s636
13.258	0.933	0	UA_with_intermediate	1,2,3,0,0,0,0,0,0	practice	ward_and_allport	1,2,3,0,0,0,0,0,0	89.0	0.0	0.933	1,0,0,2,3,0,0,0,0	to_board	s636
14.196	1.0	0	UA_with_intermediate	n/a	practice	ward_and_allport	n/a	-1.0	0.0	n/a	n/a	feedback	s636
16.698	2.881	1	UA_with_intermediate	1,0,0,3,0,0,0,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	89.0	1.0	2.881	1,2,0,3,0,0,0,0,0	to_hand	s636
19.58	3.013	0	UA_with_intermediate	1,0,0,3,0,0,2,0,0	practice	ward_and_allport	1,3,2,0,0,0,0,0,0	82.0	1.0	3.013	1,2,0,3,0,0,0,0,0	to_board	s636
