onset	duration	correct	correct_response	cue	experiment_exp_id	flanker_location	flanker_middle_direction	flanker_type	key_press	response_time	trial_id	worker_id
3.019	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
3.526048	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.717	stim	s643
5.631	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
6.141864	1.7	0.0	89.0	n/a	attention_network_task	up	left	incongruent	71	0.565	stim	s643
8.247	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
8.755728	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.577	stim	s643
10.861	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
11.372727999999999	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.671	stim	s643
13.479	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
13.991	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.587	stim	s643
16.096	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
16.608	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.565	stim	s643
18.714	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
19.226727999999998	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.546	stim	s643
21.332	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
21.845	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.699	stim	s643
23.95	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
24.462	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.763	stim	s643
26.568	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
27.078727999999998	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.55	stim	s643
29.185	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
29.698	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.585	stim	s643
31.803	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
32.314864	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.566	stim	s643
34.421	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
34.932728000000004	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.654	stim	s643
37.039	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
37.55	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.555	stim	s643
39.656	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
40.167	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.512	stim	s643
42.274	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
42.782	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.491	stim	s643
44.886	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
45.399	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.81	stim	s643
47.501	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
48.011	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.518	stim	s643
50.116	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
50.629	1.7	1.0	71.0	n/a	attention_network_task	down	right	incongruent	71	0.686	stim	s643
52.733	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
53.244728	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.657	stim	s643
55.351	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
55.862864	1.7	1.0	71.0	n/a	attention_network_task	down	right	incongruent	71	0.685	stim	s643
57.969	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
58.480912	1.7	1.0	71.0	n/a	attention_network_task	down	right	incongruent	71	0.75	stim	s643
60.587	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
61.099728000000006	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.669	stim	s643
63.204	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
63.716864	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.479	stim	s643
65.822	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
66.334864	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.612	stim	s643
68.44	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
68.952	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.579	stim	s643
71.058	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
71.57	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.948	stim	s643
73.676	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
74.187	1.7	1.0	71.0	n/a	attention_network_task	down	right	congruent	71	0.627	stim	s643
76.293	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
76.801	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.545	stim	s643
78.905	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
79.415864	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.707	stim	s643
81.521	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
82.029728	1.7	1.0	71.0	n/a	attention_network_task	down	right	incongruent	71	0.665	stim	s643
84.135	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
84.645864	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.802	stim	s643
86.753	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
87.26586400000001	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.636	stim	s643
89.37	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
89.881	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.743	stim	s643
91.987	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
92.494	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.682	stim	s643
94.6	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
95.111592	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.555	stim	s643
97.218	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
97.729456	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.545	stim	s643
99.835	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
100.346592	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.62	stim	s643
102.453	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
102.966	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.542	stim	s643
105.071	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
105.582592	1.7	1.0	71.0	n/a	attention_network_task	up	right	congruent	71	0.922	stim	s643
107.689	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
108.202	1.7	1.0	89.0	n/a	attention_network_task	up	left	congruent	89	0.681	stim	s643
110.306	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
110.816592	1.7	1.0	89.0	n/a	attention_network_task	down	left	congruent	89	0.634	stim	s643
112.923	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
113.436	1.7	1.0	71.0	n/a	attention_network_task	up	right	incongruent	71	0.632	stim	s643
115.541	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
116.053	1.7	1.0	89.0	n/a	attention_network_task	up	left	incongruent	89	0.718	stim	s643
118.16	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
118.67259200000001	1.7	1.0	71.0	n/a	attention_network_task	down	right	incongruent	71	0.898	stim	s643
120.777	0.1	n/a	n/a	spatial	attention_network_task	n/a	n/a	n/a	-1	n/a	spatialcue	s643
121.287864	1.7	1.0	89.0	n/a	attention_network_task	down	left	incongruent	89	0.888	stim	s643
123.394	0.1	n/a	n/a	double	attention_network_task	n/a	n/a	n/a	-1	n/a	doublecue	s643
