filename	notes
anat/sub-s649_ses-2_T2w.nii.gz	after participant reentered scanner
anat/sub-s649_ses-2_T1w.nii.gz	after participant reentered scanner
func/sub-s649_ses-2_task-WATT3_run-1_bold.nii.gz	n/a
func/sub-s649_ses-2_task-ANT_run-1_bold.nii.gz	after participant reentered scanner
func/sub-s649_ses-2_task-rest_run-1_bold.nii.gz	n/a
func/sub-s649_ses-2_task-twoByTwo_run-1_bold.nii.gz	n/a
func/sub-s649_ses-2_task-rest_run-1_sbref.nii.gz	n/a
func/sub-s649_ses-2_task-stopSignal_run-1_bold.nii.gz	after participant reentered scanner
func/sub-s649_ses-2_task-stopSignal_run-1_sbref.nii.gz	participant went to bathroom before this scan
func/sub-s649_ses-2_task-CCTHot_run-1_bold.nii.gz	after participant reentered scanner
fmap/sub-s649_ses-2_run-1_fieldmap.nii.gz	n/a
fmap/sub-s649_ses-2_run-2_magnitude.nii.gz	after participant reentered scanner
fmap/sub-s649_ses-2_run-1_magnitude.nii.gz	n/a
fmap/sub-s649_ses-2_run-2_fieldmap.nii.gz	after participant reentered scanner
